"","OpenTime","Open","High","Low","Close","CloseTime","BaseAssetVolume","NumberOfTrades","TakerBuyVolume","TakerBuyBaseAssetVolume","Ignore","NA"
"24",2017-09-09,300.01,307,281.66,296.74,1970-01-01 00:00:02,1505001599999,813750.3589359,1956,1755.91508,520754.9145735,0
"25",2017-09-10,296.72,302.78,261.03,293.5,1970-01-01 00:00:04,1505087999999,1181903.7721999,2494,2282.40311,651266.4580305,0
"26",2017-09-11,293.51,304.98,285.21,297.3,1970-01-01 00:00:04,1505174399999,1436811.8161569,3490,2412.24221,718382.7521632,0
"27",2017-09-12,297.78,316.46,286.01,293.96,1970-01-01 00:00:05,1505260799999,1573452.4124519,5279,2207.60465,671349.2542697,0
"28",2017-09-13,293.93,294.5,257.05,276.91,1970-01-01 00:00:06,1505347199999,1761080.8976069,4527,3264.55673,890399.3695974,0
"29",2017-09-14,275.76,283.77,215,215.21,1970-01-01 00:00:12,1505433599999,3110767.7805647,8166,4455.23882,1100931.1454267,0
"30",2017-09-15,217,270.93,192,253,1970-01-01 00:00:14,1505519999999,3319311.826735,9198,5945.8076,1386660.0368027,0
"31",2017-09-16,255.99,271.81,235.51,249.31,1970-01-01 00:00:10,1505606399999,2647152.3723708,8859,3866.60141,995005.3267045,0
"32",2017-09-17,249.32,264.39,239.02,257.55,1970-01-01 00:00:04,1505692799999,1149704.2949294,5277,1442.00382,360268.4738608,0
"33",2017-09-18,257.53,306.22,257.11,294.57,1970-01-01 00:00:04,1505779199999,1182937.633574,3440,2342.68408,669740.5214988,0
"34",2017-09-19,296,300,277.41,284,1970-01-01 00:00:01,1505865599999,535773.5652001,1896,789.82937,226839.7065421,0
"35",2017-09-20,284.01,294,275.91,282,1970-01-01 00:00:01,1505951999999,302739.7337531,1431,566.64637,162290.4185872,0
"36",2017-09-21,285.1,287,252.1,257,1970-01-01 00:00:01,1506038399999,516193.1970608,2751,579.77742,156157.9954675,0
"37",2017-09-22,258,272.97,253.01,264,1970-01-01 00:00:01,1506124799999,382962.217943,2144,612.61937,160401.2878139,0
"38",2017-09-23,259.99,286.23,255.11,285.93,1970-01-01 00:00:02,1506211199999,788810.3244239,3901,841.43467,233418.256899,0
"39",2017-09-24,286.5,294.61,275,282,1970-01-01 00:00:05,1506297599999,1582877.4871329,8022,1314.52754,373569.556758,0
"40",2017-09-25,282,299,281.34,294.42,1970-01-01 00:00:05,1506383999999,1705551.9921018,9165,1950.58866,567363.4490881,0
"41",2017-09-26,294.42,296.81,286.24,287.9,1970-01-01 00:00:04,1506470399999,1332125.1654396,7329,1073.93969,313528.6412562,0
"42",2017-09-27,289.91,313,286.13,309.74,1970-01-01 00:00:05,1506556799999,1641896.8743651,8208,1276.45702,380606.4657897,0
