"","OpenTime","Open","High","Low","Close","CloseTime","BaseAssetVolume","NumberOfTrades","TakerBuyVolume","TakerBuyBaseAssetVolume","Ignore","NA"
"62",2017-10-17,5760,5774.98,5508.63,5595,1970-01-01 00:00:01,1508284799999,8041662.31881055,9755,688.766779,3874630.11789208,0
"63",2017-10-18,5595,5596,5037.95,5512.06,1970-01-01 00:00:02,1508371199999,12456909.9760437,14824,1039.622475,5582555.96464678,0
"64",2017-10-19,5513,5710,5490.26,5683.9,1970-01-01 00:00:01,1508457599999,10609368.7733836,11553,866.172234,4889254.26776489,0
"65",2017-10-20,5683.31,6110,5600,6010.01,1970-01-01 00:00:01,1508543999999,11486552.1888066,11656,833.037457,4827682.43818362,0
"66",2017-10-21,6013.72,6171,5850.03,6024.97,1970-01-01 00:00:01,1508630399999,10114821.4402635,10182,796.022575,4842552.09005084,0
"67",2017-10-22,6003.27,6060,5720.03,5950.02,1970-01-01 00:00:01,1508716799999,8035415.37335629,8846,559.072342,3298113.25431534,0
"68",2017-10-23,5975,6080,5621.03,5915.93,1970-01-01 00:00:01,1508803199999,10607190.9807269,10736,733.791079,4292971.67402233,0
"69",2017-10-24,5909.47,5925,5450,5477.03,1970-01-01 00:00:02,1508889599999,14564495.8505603,13075,1128.826117,6369508.22114772,0
"70",2017-10-25,5506.92,5704.96,5286.98,5689.99,1970-01-01 00:00:02,1508975999999,12544847.891542,12026,1102.091326,6072831.20164732,0
"71",2017-10-26,5670.1,5939.99,5650,5861.77,1970-01-01 00:00:01,1509062399999,11417126.6360256,11429,779.739997,4524676.60186949,0
"72",2017-10-27,5861.77,5980,5649.24,5768.83,1970-01-01 00:00:01,1509148799999,8167069.73635031,8305,624.087409,3639525.74476665,0
"73",2017-10-28,5768.79,5850.02,5630.03,5719.64,1970-01-01 00:00:01,1509235199999,7308076.01911184,8556,522.437128,2992463.28829385,0
"74",2017-10-29,5709.98,6189.88,5648.01,6169.98,1970-01-01 00:00:01,1509321599999,10620967.6245917,10651,954.170196,5607341.71306722,0
"75",2017-10-30,6133.01,6248.68,6030,6120.5,1970-01-01 00:00:01,1509407999999,9030219.28673499,9027,568.13297,3484470.96871416,0
"76",2017-10-31,6120.52,6498.01,6100,6463,1970-01-01 00:00:01,1509494399999,9487640.8400991,12503,666.763568,4189144.86604943,0
"77",2017-11-01,6463,6774.67,6338.02,6753.98,1970-01-01 00:00:01,1509580799999,10951171.0725404,16775,681.762424,4456444.95893702,0
"78",2017-11-02,6753.98,7300,6685.1,7019.98,1970-01-01 00:00:02,1509667199999,17369001.3309188,20222,1152.043042,8002005.80575711,0
"79",2017-11-03,7010.31,7346.34,6923,7115.04,1970-01-01 00:00:01,1509753599999,13614451.7465413,15375,790.186344,5689002.21482195,0
"80",2017-11-04,7115.02,7480.99,6901,7357.09,1970-01-01 00:00:01,1509839999999,10064538.3965904,13395,638.387268,4597312.95311455,0
"81",2017-11-05,7357.27,7590.25,7279.02,7345.01,1970-01-01 00:00:01,1509926399999,9000403.86573288,11090,540.675195,4027338.87761942,0
"82",2017-11-06,7345.1,7401,6906,6960.12,1970-01-01 00:00:01,1510012799999,12673524.6216398,13525,730.003787,5258426.96569148,0
"83",2017-11-07,6981.72,7198.49,6901,7064.04,1970-01-01 00:00:01,1510099199999,10173272.337808,13132,591.187992,4181187.39303234,0
"84",2017-11-08,7070,7770.02,6651,7303,1970-01-01 00:00:02,1510185599999,20491286.1984082,24381,1291.344472,9394534.42380506,0
"85",2017-11-09,7303.01,7392,7015,7079.99,1970-01-01 00:00:01,1510271999999,13798534.3472174,13818,724.154878,5221300.62862515,0
"86",2017-11-10,7079,7279.91,6255.01,6506.98,1970-01-01 00:00:03,1510358399999,22083345.1839616,18889,1565.261439,10594456.2111561,0
"87",2017-11-11,6503,6797.98,6100,6245.05,1970-01-01 00:00:02,1510444799999,17681445.46475,17840,1127.476148,7260382.61767693,0
"88",2017-11-12,6245.05,6630,5325.01,5811.03,1970-01-01 00:00:04,1510531199999,29711508.6008467,31069,2267.410744,13607604.4163532,0
"89",2017-11-13,5839.94,6697.47,5699.99,6465.99,1970-01-01 00:00:02,1510617599999,16498136.0991394,16165,1299.996919,8190123.54546063,0
"90",2017-11-14,6465.99,6684.98,6311.07,6574.99,1970-01-01 00:00:01,1510703999999,8168729.97122799,10476,612.136202,3991112.7307127,0
"91",2017-11-15,6575.99,7298,6575.99,7240.06,1970-01-01 00:00:01,1510790399999,12446186.4509282,10313,958.59199,6705958.0325874,0
"92",2017-11-16,7240.14,7940,7076,7864.5,1970-01-01 00:00:02,1510876799999,17499577.2581597,14961,1196.410717,8973214.5702364,0
"93",2017-11-17,7876.98,7989,7451,7699.19,1970-01-01 00:00:03,1510963199999,31024092.6195118,22012,1910.208237,14893068.9684956,0
"94",2017-11-18,7680.01,7819.99,7422,7761.94,1970-01-01 00:00:03,1511049599999,30334498.3152571,18383,1891.340324,14512569.8884533,0
"95",2017-11-19,7761.94,8123.15,7650.33,8038,1970-01-01 00:00:03,1511135999999,30322635.7689457,14897,2097.613346,16448877.8477171,0
"96",2017-11-20,8057.11,8319.99,7954,8212,1970-01-01 00:00:03,1511222399999,31567135.3873129,20101,1816.366339,14741452.7291341,0
"97",2017-11-21,8212.49,8400,7801,8119.51,1970-01-01 00:00:04,1511308799999,37074997.5809091,20798,2222.291215,18131894.1136692,0
"98",2017-11-22,8091.09,8322.68,8091.09,8205.92,1970-01-01 00:00:03,1511395199999,29124078.4721772,14752,1823.860374,14992767.1764714,0
"99",2017-11-23,8233.03,8260,8000,8019.99,1970-01-01 00:00:04,1511481599999,33400702.9995763,16625,2163.755131,17665030.2486922,0
